state,county,tract,pop_tot,num_hh_tot,num_hh_1p,num_hh_2p,num_hh_3p,num_hh_4p,num_hh_5p,num_hh_6p,num_hh_7plus,geoid,usps,aland,awater,aland_sqmi,awater_sqmi,intptlat,intptlong
42,003,480102,2878,1238,390,419,164,180,85,0,0,42003480102,PA,1692783,0,0.654,0.0,40.3443354,-79.9995243
42,003,484500,6012,2706,1019,953,233,275,165,37,24,42003484500,PA,2508908,0,0.969,0.0,40.3822012,-79.9042086
42,003,010300,6652,322,137,65,108,3,9,0,0,42003010300,PA,866168,217686,0.334,0.084,40.4361325,-79.9853307
42,003,020100,5490,2714,1475,1044,139,42,14,0,0,42003020100,PA,1678017,440541,0.648,0.17,40.4407662,-79.999279
42,003,040200,1576,600,299,174,44,63,20,0,0,42003040200,PA,604717,0,0.233,0.0,40.4401101,-79.9662463
42,003,040600,2212,960,284,352,218,42,19,23,22,42003040600,PA,253061,0,0.098,0.0,40.4367501,-79.9522852
42,003,101600,1043,399,109,108,109,43,13,9,8,42003101600,PA,464604,0,0.179,0.0,40.4703739,-79.9393306
42,003,130200,1422,521,159,140,102,72,31,0,17,42003130200,PA,348488,0,0.135,0.0,40.4586937,-79.8934943
42,003,140500,1915,1015,373,490,111,41,0,0,0,42003140500,PA,754719,0,0.291,0.0,40.4516645,-79.9021312
42,003,141300,5126,2403,1161,588,310,253,57,0,34,42003141300,PA,890203,0,0.344,0.0,40.4334827,-79.9282231
42,003,141400,5143,2577,1216,775,359,91,95,41,0,42003141400,PA,2048855,88690,0.791,0.034,40.4222026,-79.9200175
42,003,190300,1804,1066,455,500,97,14,0,0,0,42003190300,PA,788803,0,0.305,0.0,40.4327228,-80.0148434
42,003,522000,3195,1458,593,355,206,231,67,6,0,42003522000,PA,1308207,0,0.505,0.0,40.4077787,-79.7763443
42,003,523501,4287,1839,473,725,281,299,61,0,0,42003523501,PA,4585071,0,1.77,0.0,40.4723025,-79.8104934
42,003,551300,2622,1251,476,385,273,83,10,24,0,42003551300,PA,3944378,29848,1.523,0.012,40.3317099,-79.8284109
42,003,551900,1474,909,616,162,99,28,4,0,0,42003551900,PA,1810501,400287,0.699,0.155,40.3551633,-79.8493157
42,003,552400,3383,1424,504,449,172,161,100,19,19,42003552400,PA,2044621,200575,0.789,0.077,40.3332132,-79.8436326
42,003,561500,2696,1737,1151,401,75,96,0,14,0,42003561500,PA,1279279,0,0.494,0.0,40.4403142,-79.8684161
42,003,120800,836,266,100,87,35,16,13,9,6,42003120800,PA,715702,0,0.276,0.0,40.4603743,-79.9131344
42,003,140200,2523,1071,409,479,62,105,16,0,0,42003140200,PA,759492,0,0.293,0.0,40.4478011,-79.9263113
42,003,140400,2319,975,241,391,156,134,49,4,0,42003140400,PA,834995,0,0.322,0.0,40.4493376,-79.9157386
42,003,281500,1426,671,274,190,116,67,14,5,5,42003281500,PA,617106,0,0.238,0.0,40.4404623,-80.0539288
42,003,310200,3213,1431,506,475,201,167,25,18,39,42003310200,PA,2541954,0,0.981,0.0,40.3714027,-79.9141123
42,003,401100,4713,2069,634,833,306,183,48,37,28,42003401100,PA,13106207,1012800,5.06,0.391,40.6510266,-79.7151954
42,003,413202,2760,1183,397,369,169,152,86,10,0,42003413202,PA,4145581,0,1.601,0.0,40.5807208,-80.0580256
42,003,414200,5811,2291,552,928,297,304,125,12,73,42003414200,PA,14184938,0,5.477,0.0,40.5657806,-79.9455257
42,003,427000,3706,1903,1044,467,183,120,53,8,28,42003427000,PA,1599930,151832,0.618,0.059,40.4817489,-79.9737949
42,003,431400,1854,965,450,309,97,88,21,0,0,42003431400,PA,687843,0,0.266,0.0,40.5029558,-80.055233
42,003,435000,2503,1258,627,354,119,113,27,18,0,42003435000,PA,1472771,318264,0.569,0.123,40.5108721,-80.0962166
42,003,437000,6565,2483,418,1155,310,371,205,18,6,42003437000,PA,17758642,0,6.857,0.0,40.5424807,-80.0925788
42,003,459102,5992,2431,530,1069,393,325,108,6,0,42003459102,PA,9537298,0,3.682,0.0,40.4709427,-80.1362559
42,003,507000,1955,989,425,345,60,138,0,21,0,42003507000,PA,1073823,0,0.415,0.0,40.3848153,-79.8074149
42,003,508000,1860,871,422,225,117,27,46,27,7,42003508000,PA,1110489,0,0.429,0.0,40.3941693,-79.8100218
42,003,509400,5197,2347,993,555,536,167,27,34,35,42003509400,PA,2510395,0,0.969,0.0,40.408575,-79.8214642
42,003,514000,2068,912,359,289,133,96,5,0,30,42003514000,PA,1131838,172230,0.437,0.066,40.4098772,-79.8792795
