pod,pod_address,lat,long
AVONWORTH HIGH SCHOOL,"304 JOSEPHS LN, PITTSBURGH, PA 15237",40.530613,-80.07749
BALDWIN HIGH SCHOOL,"4653 CLARITON BLVD, PITTSBURGH, PA 15236",40.3553,-79.979416
BETHEL PARK SR HIGH SCHOOL,"309 CHURCH RD, BETHEL PARK, PA 15102",40.33631,-80.04515
BRASHEAR HIGH SCHOOL,"590 CRANE AVE, PITTSBURGH, PA 15216",40.417046,-80.02095
BRENTWOOD JR SR HIGH SCHOOL,"3601 BROWNSVILLE RD, PITTSBURGH, PA 15227",40.374226,-79.97553
CARLYNTON SENIOR HIGH,"435 KINGS HWY, CARNEGIE, PA 15106",40.424549,-80.097329
CARRICK HIGH SCHOOL,"125 PARKFIELD ST, PITTSBURGH, PA 15210",40.3913,-79.98747
CHARTIERS VALLEY SR HIGH,"2030 SWALLOW HILL RD, PITTSBURGH, PA 15220",40.395683,-80.07691
CLAIRTON JR SR HIGH SCHOOL,"501 WADDELL AVE, CLAIRTON, PA 15025",40.293823,-79.88547
CORNELL JR/SR HIGH SCHOOL,"1099 MAPLE STREET EXTENSION, CORAOPOLIS, PA 15108",40.507647,-80.163521
DEER LAKES SENIOR HIGH,"163 E UNION RD, CHESWICK, PA 15024",40.62092,-79.85626
DUQUESNE CITY  SCHOOL (Elem),"300 KENNEDY AVE, DUQUESNE, PA 15110",40.371635,-79.84759
EAST ALLEGHENY JR SR HIGH,"1150 JACKS RUN RD, NORTH VERSAILLES, PA 15137",40.36478,-79.788885
ELIZABETH FORWARD SR HIGH,"1000 WEIGLES HILL RD, ELIZABETH, PA 15037",40.25633,-79.856705
FOX CHAPEL AREA HIGH SCHOOL,"611 FIELD CLUB RD, PITTSBURGH, PA 15238",40.51815,-79.86703
GATEWAY HIGH SCHOOL,"3000 GATEWAY CAMPUS BLVD, MONROEVILLE, PA 15146",40.429905,-79.751816
HAMPTON HIGH SCHOOL,"2929 MCCULLY RD, ALLISON PARK, PA 15101",40.581215,-79.94049
HIGHLANDS HIGH SCHOOL,"1500 PACIFIC AVE, NATRONA HEIGHTS, PA 15065",40.61707,-79.73001
KEYSTONE OAKS HIGH SCHOOL,"1000 KELTON AVE, PITTSBURGH, PA 15216",40.388847,-80.034515
MCKEESPORT AREA HIGH SCHOOL,"1960 EDEN PARK BLVD, MCKEESPORT, PA 15132",40.343863,-79.83019
MONTOUR HIGH SCHOOL,"223 CLEVER RD, MCKEES ROCKS, PA 15136",40.468327,-80.11621
MOON AREA HIGH SCHOOL,"904 BEAVER GRADE RD, MOON, PA 15108",40.513542,-80.217358
MT. LEBANON HIGH SCHOOL,"155 COCHRAN RD, PITTSBURGH, PA 15228",40.37547,-80.05002
NORTH ALLEGHENY HIGH SCHOOL,"10375 PERRY HWY, WEXFORD, PA 15090",40.610657,-80.0537
NORTH HILLS SENIOR HIGH,"53 ROCHESTER RD, PITTSBURGH, PA 15229",40.52369,-80.02956
NORTHGATE JR SR HIGH,"589 UNION AVE, PITTSBURGH, PA 15202",40.500725,-80.06178
PENN HILLS SENIOR HIGH,"309 COLLINS DR, PITTSBURGH, PA 15235",40.46553,-79.81199
PERRY HIGH SCHOOL,"3875 PERRYSVILLE AVE, PITTSBURGH, PA 15214",40.488995,-80.017876
PINE RICHLAND HIGH SCHOOL,"700 WARRENDALE RD, GIBSONIA, PA 15044",40.658484,-80.014887
PITTBURGH OBAMA 6-12,"515 N HIGHLAND AVE, PITTSBURGH, PA 15206",40.46607,-79.922714
PITTSBURGH ALLDERDICE HIGH ,"2409 SHADY AVE, PITTSBURGH, PA 15217",40.42991,-79.92039
PLUM SENIOR HIGH SCHOOL,"900 ELICKER RD, PITTSBURGH, PA 15239",40.508957,-79.77251
QUAKER VALLEY HIGH SCHOOL,"625 BEAVER ST, LEETSDALE, PA 15056",40.562294,-80.203804
RIVERVIEW SENIOR HIGH SCHOOL,"100 HULTON RD, OAKMONT, PA 15139",40.5263,-79.844124
SHALER AREA HIGH SCHOOL,"381 WIBLE RUN RD, PITTSBURGH, PA 15209",40.51276,-79.972244
SOUTH ALLEGHENY HIGH SCHOOL,"2743 WASHINGTON BLVD, MCKEESPORT, PA 15133",40.322186,-79.871376
SOUTH FAYETTE HIGH SCHOOL,"3640 OLD OAKDALE RD, MCDONALD, PA 15057",40.37997,-80.17239
SOUTH PARK SENIOR HIGH,"2005 EAGLE PRIDE LN, SOUTH PARK TOWNSHIP, PA 15129",40.300361,-79.99102
SPRINGDALE JR SR HIGH SCHOOL,"501 BUTLER RD, SPRINGDALE, PA 15144",40.54617,-79.7779
STEEL VALLEY SENIOR HIGH SCHOOL,"3113 MAIN ST, MUNHALL, PA 15120",40.3887,-79.90145
STO-ROX SR HIGH SCHOOL,"1105 VALLEY ST, MCKEES ROCKS, PA 15136",40.470684,-80.07465
THOMAS JEFFERSON HIGH SCHOOL,"310 OLD CLAIRTON RD, CLAIRTON, PA 15025",40.312336,-79.95127
UPPER ST CLAIR HIGH SCHOOL,"1825 MCLAUGHLIN RUN RD, PITTSBURGH, PA 15241",40.33552,-80.073616
WEST ALLEGHENY HIGH SCHOOL,"205 W ALLEGHENY RD, IMPERIAL, PA 15126",40.445637,-80.234764
WEST MIFFLIN AREA HIGH SCHOOL,"91 COMMONWEALTH AVE, WEST MIFFLIN, PA 15122",40.382942,-79.87754
WILKINSBURG HIGH SCHOOL,"747 WALLACE AVE, PITTSBURGH, PA 15221",40.443905,-79.88252
WOODLAND HILLS HIGH SCHOOL,"2550 GREENSBURG PIKE, PITTSBURGH, PA 15221",40.437565,-79.85276
PPG Paints Arena,"1001 Fifth Ave, Pittsburgh, PA 15219",40.4388,-79.99072
PNC Park,"115 Federal St, Pittsburgh, PA 15212",40.44794,-80.00416
Heinz Field,"100 Art Rooney Ave, Pittsburgh, PA 15212",40.445565,-80.01503
